ALLIANZ BANK BULGARIA AD,BUINBGSF
BANKSERVICE AD,BSBGBGSF
BANKSERVICE AD,BSBGBGSFIOP
BETA CORP JSC,BEJSBGS2
BNP PARIBAS S.A.-SOFIA BRANCH,BNPABGSX
BULGARIAN DEVELOPMENT BANK,NASBBGSF
BULGARIAN NATIONAL BANK,BNBGBGSF
BULGARIAN NATIONAL BANK - BGN,BNBGBGSD
BULGARIAN-AMERICAN CREDIT BANK,BGUSBGSF
CENTRAL COOPERATIVE BANK PLC,CECBBGSF
CENTRAL DEPOSITORY AD,CEDPBGSF
CIBANK JSC,BUIBBGSF
"CITIBANK EUROPE PLC,CITIBGSF
"CITIBANK EUROPE PLC,CITIBGSFTRD
COMMERCIAL BANK VICTORIA EAD,BINVBGSF
D COMMERCE BANK AD,DEMIBGSF
DSK BANK,STSABGSF
EURO-FINANCE LTD,EUFCBGSF
EUROBANK BULGARIA AD,BPBIBGSF
EUROBANK BULGARIA AD,BPBIBGSFSEC
EUROBANK BULGARIA AD,BPBIBGSFISD
FIRST INVESTMENT BANK AD,FINVBGSF
ICARD AD,INTFBGSF
ING BANK N.V. SOFIA BRANCH,INGBBGSF
INTERNATIONAL ASSET BANK AD,IABGBGSF
INVESTBANK PLC,IORTBGSF
ISBANK AG SOFIA BRANCH,ISBKBGSF
MUNICIPAL BANK PLC,SOMBBGSF
PAYNETICS AD,PATCBGSF
PIRAEUS BANK BULGARIA AD,PIRBBGSF
PROCREDIT BANK (BULGARIA) EAD,PRCBBGSF
RAIFFEISENBANK (BULGARIA) EAD,RZBBBGSF
SOCIETE GENERALE EXPRESSBANK,TTBBBG22
SOCIETE GENERALE EXPRESSBANK,TTBBBG22CUS
T.C. ZIRAAT BANKASI,TCZBBGSF
TBI BANK EAD,TBIBBGSF
TEXIM BANK AD,TEXIBGSF
TOKUDA BANK AD,CREXBGSF
UNICREDIT BULBANK AD,UNCRBGSF720
UNICREDIT BULBANK AD,UNCRBGSF
UNICREDIT BULBANK AD,UNCRBGSF031
UNICREDIT BULBANK AD,UNCRBGSF426
UNICREDIT BULBANK AD,UNCRBGSF081
UNICREDIT BULBANK AD,UNCRBGSF733
UNITED BULGARIAN BANK,UBBSBGSF
